,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##
"24"" x 20""",24,20,AWN2018,Aluminum-clad wood awning window,2,2
"24"" x 24""",24,24,AWN2020,Aluminum-clad wood awning window,2,2
"24"" x 30""",24,30,AWN2026,Aluminum-clad wood awning window,2,2
"24"" x 36""",24,36,AWN2030,Aluminum-clad wood awning window,2,3
"24"" x 40""",24,40,AWN2034,Aluminum-clad wood awning window,2,3
"24"" x 48""",24,48,AWN2040,Aluminum-clad wood awning window,2,4
"28"" x 20""",28,20,AWN2418,Aluminum-clad wood awning window,2,2
"28"" x 24""",28,24,AWN2420,Aluminum-clad wood awning window,2,2
"28"" x 30""",28,30,AWN2426,Aluminum-clad wood awning window,2,2
"28"" x 36""",28,36,AWN2430,Aluminum-clad wood awning window,2,3
"28"" x 40""",28,40,AWN2434,Aluminum-clad wood awning window,2,3
"28"" x 48""",28,48,AWN2440,Aluminum-clad wood awning window,2,4
"30"" x 20""",30,20,AWN2618,Aluminum-clad wood awning window,2,2
"30"" x 24""",30,24,AWN2620,Aluminum-clad wood awning window,2,2
"30"" x 30""",30,30,AWN2626,Aluminum-clad wood awning window,2,2
"30"" x 36""",30,36,AWN2630,Aluminum-clad wood awning window,2,3
"30"" x 40""",30,40,AWN2634,Aluminum-clad wood awning window,2,3
"30"" x 48""",30,48,AWN2640,Aluminum-clad wood awning window,2,4
"32"" x 20""",32,20,AWN2818,Aluminum-clad wood awning window,3,2
"32"" x 24""",32,24,AWN2820,Aluminum-clad wood awning window,3,2
"32"" x 30""",32,30,AWN2826,Aluminum-clad wood awning window,3,2
"32"" x 36""",32,36,AWN2830,Aluminum-clad wood awning window,3,3
"32"" x 40""",32,40,AWN2834,Aluminum-clad wood awning window,3,3
"32"" x 48""",32,48,AWN2840,Aluminum-clad wood awning window,3,4
"36"" x 20""",36,20,AWN3018,Aluminum-clad wood awning window,3,2
"36"" x 24""",36,24,AWN3020,Aluminum-clad wood awning window,3,2
"36"" x 30""",36,30,AWN3026,Aluminum-clad wood awning window,3,2
"36"" x 36""",36,36,AWN3030,Aluminum-clad wood awning window,3,3
"36"" x 40""",36,40,AWN3034,Aluminum-clad wood awning window,3,3
"36"" x 48""",36,48,AWN3040,Aluminum-clad wood awning window,3,4
"40"" x 20""",40,20,AWN3418,Aluminum-clad wood awning window,3,2
"40"" x 24""",40,24,AWN3420,Aluminum-clad wood awning window,3,2
"40"" x 30""",40,30,AWN3426,Aluminum-clad wood awning window,3,2
"40"" x 36""",40,36,AWN3430,Aluminum-clad wood awning window,3,3
"40"" x 40""",40,40,AWN3434,Aluminum-clad wood awning window,3,3
"40"" x 48""",40,48,AWN3440,Aluminum-clad wood awning window,3,4
"48"" x 20""",48,20,AWN4018,Aluminum-clad wood awning window,4,2
"48"" x 24""",48,24,AWN4020,Aluminum-clad wood awning window,4,2
"48"" x 30""",48,30,AWN4026,Aluminum-clad wood awning window,4,2
"48"" x 36""",48,36,AWN4030,Aluminum-clad wood awning window,4,3
"48"" x 40""",48,40,AWN4034,Aluminum-clad wood awning window,4,3
"48"" x 48""",48,48,AWN4040,Aluminum-clad wood awning window,4,4
