,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##
"17-3/4"" x 24""",17.75,24,CMT153/420,Aluminum-clad wood casement window,2,2
"17-3/4"" x 30""",17.75,30,CMT153/426,Aluminum-clad wood casement window,2,3
"17-3/4"" x 32""",17.75,32,CMT153/428,Aluminum-clad wood casement window,2,3
"17-3/4"" x 36""",17.75,36,CMT153/430,Aluminum-clad wood casement window,2,3
"17-3/4"" x 40""",17.75,40,CMT153/434,Aluminum-clad wood casement window,2,3
"17-3/4"" x 48""",17.75,48,CMT153/440,Aluminum-clad wood casement window,2,4
"17-3/4"" x 54""",17.75,54,CMT153/446,Aluminum-clad wood casement window,2,4
"17-3/4"" x 60""",17.75,60,CMT153/450,Aluminum-clad wood casement window,2,5
"17-3/4"" x 66""",17.75,66,CMT153/456,Aluminum-clad wood casement window,2,5
"17-3/4"" x 72""",17.75,72,CMT153/460,Aluminum-clad wood casement window,2,6
"20"" x 24""",20,24,CMT1820,Aluminum-clad wood casement window,2,2
"20"" x 30""",20,30,CMT1826,Aluminum-clad wood casement window,2,3
"20"" x 32""",20,32,CMT1828,Aluminum-clad wood casement window,2,3
"20"" x 36""",20,36,CMT1830,Aluminum-clad wood casement window,2,3
"20"" x 40""",20,40,CMT1834,Aluminum-clad wood casement window,2,3
"20"" x 48""",20,48,CMT1840,Aluminum-clad wood casement window,2,4
"20"" x 54""",20,54,CMT1846,Aluminum-clad wood casement window,2,4
"20"" x 60""",20,60,CMT1850,Aluminum-clad wood casement window,2,5
"20"" x 66""",20,66,CMT1856,Aluminum-clad wood casement window,2,5
"20"" x 72""",20,72,CMT1860,Aluminum-clad wood casement window,2,6
"24"" x 24""",24,24,CMT2020,Aluminum-clad wood casement window,2,2
"24"" x 30""",24,30,CMT2026,Aluminum-clad wood casement window,2,3
"24"" x 32""",24,32,CMT2028,Aluminum-clad wood casement window,2,3
"24"" x 36""",24,36,CMT2030,Aluminum-clad wood casement window,2,3
"24"" x 40""",24,40,CMT2034,Aluminum-clad wood casement window,2,3
"24"" x 48""",24,48,CMT2040,Aluminum-clad wood casement window,2,4
"24"" x 54""",24,54,CMT2046,Aluminum-clad wood casement window,2,4
"24"" x 60""",24,60,CMT2050,Aluminum-clad wood casement window,2,5
"24"" x 66""",24,66,CMT2056,Aluminum-clad wood casement window,2,5
"24"" x 72""",24,72,CMT2060,Aluminum-clad wood casement window,2,6
"28"" x 24""",28,24,CMT2420,Aluminum-clad wood casement window,2,2
"28"" x 30""",28,30,CMT2426,Aluminum-clad wood casement window,2,3
"28"" x 32""",28,32,CMT2428,Aluminum-clad wood casement window,2,3
"28"" x 36""",28,36,CMT2430,Aluminum-clad wood casement window,2,3
"28"" x 40""",28,40,CMT2434,Aluminum-clad wood casement window,2,3
"28"" x 48""",28,48,CMT2440,Aluminum-clad wood casement window,2,4
"28"" x 54""",28,54,CMT2446,Aluminum-clad wood casement window,2,4
"28"" x 60""",28,60,CMT2450,Aluminum-clad wood casement window,2,5
"28"" x 66""",28,66,CMT2456,Aluminum-clad wood casement window,2,5
"28"" x 72""",28,72,CMT2460,Aluminum-clad wood casement window,2,6
"30"" x 24""",30,24,CMT2620,Aluminum-clad wood casement window,2,2
"30"" x 30""",30,30,CMT2626,Aluminum-clad wood casement window,2,3
"30"" x 32""",30,32,CMT2628,Aluminum-clad wood casement window,2,3
"30"" x 36""",30,36,CMT2630,Aluminum-clad wood casement window,2,3
"30"" x 40""",30,40,CMT2634,Aluminum-clad wood casement window,2,3
"30"" x 48""",30,48,CMT2640,Aluminum-clad wood casement window,2,4
"30"" x 54""",30,54,CMT2646,Aluminum-clad wood casement window,2,4
"30"" x 60""",30,60,CMT2650,Aluminum-clad wood casement window,2,5
"30"" x 66""",30,66,CMT2656,Aluminum-clad wood casement window,2,5
"30"" x 72""",30,72,CMT2660,Aluminum-clad wood casement window,2,6
"32"" x 24""",32,24,CMT2820,Aluminum-clad wood casement window,3,2
"32"" x 30""",32,30,CMT2826,Aluminum-clad wood casement window,3,3
"32"" x 32""",32,32,CMT2828,Aluminum-clad wood casement window,3,3
"32"" x 36""",32,36,CMT2830,Aluminum-clad wood casement window,3,3
"32"" x 40""",32,40,CMT2834,Aluminum-clad wood casement window,3,3
"32"" x 48""",32,48,CMT2840,Aluminum-clad wood casement window,3,4
"32"" x 54""",32,54,CMT2846,Aluminum-clad wood casement window,3,4
"32"" x 60""",32,60,CMT2850,Aluminum-clad wood casement window,3,5
"32"" x 66""",32,66,CMT2856,Aluminum-clad wood casement window,3,5
"32"" x 72""",32,72,CMT2860,Aluminum-clad wood casement window,3,6
"36"" x 24""",36,24,CMT3020,Aluminum-clad wood casement window,3,2
"36"" x 30""",36,30,CMT3026,Aluminum-clad wood casement window,3,3
"36"" x 32""",36,32,CMT3028,Aluminum-clad wood casement window,3,3
"36"" x 36""",36,36,CMT3030,Aluminum-clad wood casement window,3,3
"36"" x 40""",36,40,CMT3034,Aluminum-clad wood casement window,3,3
"36"" x 48""",36,48,CMT3040,Aluminum-clad wood casement window,3,4
"36"" x 54""",36,54,CMT3046,Aluminum-clad wood casement window,3,4
"36"" x 60""",36,60,CMT3050,Aluminum-clad wood casement window,3,5
"36"" x 66""",36,66,CMT3056,Aluminum-clad wood casement window,3,5
"36"" x 72""",36,72,CMT3060,Aluminum-clad wood casement window,3,6
