,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"19-1/4"" x 15-1/4""",19.25,15.25,AAN1814,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"19-1/4"" x 19-1/4""",19.25,19.25,AAN1818,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"19-1/4"" x 21-1/4""",19.25,21.25,AAN18110,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"19-1/4"" x 23-1/4""",19.25,23.25,AAN1820,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"19-1/4"" x 27-1/4""",19.25,27.25,AAN1824,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"19-1/4"" x 31-1/4""",19.25,31.25,AAN1828,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"19-1/4"" x 35-1/4""",19.25,35.25,AAN1830,Fiberglass and Fibrex clad wood awning window,2,3,2,3
"23-1/4"" x 15-1/4""",23.25,15.25,AAN2014,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"23-1/4"" x 19-1/4""",23.25,19.25,AAN2018,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"23-1/4"" x 21-1/4""",23.25,21.25,AAN20110,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"23-1/4"" x 23-1/4""",23.25,23.25,AAN2020,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"23-1/4"" x 27-1/4""",23.25,27.25,AAN2024,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"23-1/4"" x 31-1/4""",23.25,31.25,AAN2028,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"23-1/4"" x 35-1/4""",23.25,35.25,AAN2030,Fiberglass and Fibrex clad wood awning window,2,3,2,3
"27-1/4"" x 15-1/4""",27.25,15.25,AAN2414,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"27-1/4"" x 19-1/4""",27.25,19.25,AAN2418,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"27-1/4"" x 21-1/4""",27.25,21.25,AAN24110,Fiberglass and Fibrex clad wood awning window,2,1,2,1
"27-1/4"" x 23-1/4""",27.25,23.25,AAN2420,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"27-1/4"" x 27-1/4""",27.25,27.25,AAN2424,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"27-1/4"" x 31-1/4""",27.25,31.25,AAN2428,Fiberglass and Fibrex clad wood awning window,2,2,2,2
"27-1/4"" x 35-1/4""",27.25,35.25,AAN2430,Fiberglass and Fibrex clad wood awning window,2,3,2,3
"29-1/4"" x 15-1/4""",29.25,15.25,AAN2614,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"29-1/4"" x 19-1/4""",29.25,19.25,AAN2618,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"29-1/4"" x 21-1/4""",29.25,21.25,AAN26110,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"29-1/4"" x 23-1/4""",29.25,23.25,AAN2620,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"29-1/4"" x 27-1/4""",29.25,27.25,AAN2624,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"29-1/4"" x 31-1/4""",29.25,31.25,AAN2628,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"29-1/4"" x 35-1/4""",29.25,35.25,AAN2630,Fiberglass and Fibrex clad wood awning window,3,3,3,3
"31-1/4"" x 15-1/4""",31.25,15.25,AAN2814,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"31-1/4"" x 19-1/4""",31.25,19.25,AAN2818,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"31-1/4"" x 21-1/4""",31.25,21.25,AAN28110,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"31-1/4"" x 23-1/4""",31.25,23.25,AAN2820,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"31-1/4"" x 27-1/4""",31.25,27.25,AAN2824,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"31-1/4"" x 31-1/4""",31.25,31.25,AAN2828,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"31-1/4"" x 35-1/4""",31.25,35.25,AAN2830,Fiberglass and Fibrex clad wood awning window,3,3,3,3
"33-1/4"" x 15-1/4""",33.25,15.25,AAN21014,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"33-1/4"" x 19-1/4""",33.25,19.25,AAN21018,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"33-1/4"" x 21-1/4""",33.25,21.25,AAN210110,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"33-1/4"" x 23-1/4""",33.25,23.25,AAN21020,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"33-1/4"" x 27-1/4""",33.25,27.25,AAN21024,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"33-1/4"" x 31-1/4""",33.25,31.25,AAN21028,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"33-1/4"" x 35-1/4""",33.25,35.25,AAN21030,Fiberglass and Fibrex clad wood awning window,3,3,3,3
"35-1/4"" x 15-1/4""",35.25,15.25,AAN3014,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"35-1/4"" x 19-1/4""",35.25,19.25,AAN3018,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"35-1/4"" x 21-1/4""",35.25,21.25,AAN30110,Fiberglass and Fibrex clad wood awning window,3,1,3,1
"35-1/4"" x 23-1/4""",35.25,23.25,AAN3020,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"35-1/4"" x 27-1/4""",35.25,27.25,AAN3024,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"35-1/4"" x 31-1/4""",35.25,31.25,AAN3028,Fiberglass and Fibrex clad wood awning window,3,2,3,2
"35-1/4"" x 35-1/4""",35.25,35.25,AAN3030,Fiberglass and Fibrex clad wood awning window,3,3,3,3
"37-1/4"" x 15-1/4""",37.25,15.25,AAN3214,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"37-1/4"" x 19-1/4""",37.25,19.25,AAN3218,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"37-1/4"" x 21-1/4""",37.25,21.25,AAN32110,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"37-1/4"" x 23-1/4""",37.25,23.25,AAN3220,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 27-1/4""",37.25,27.25,AAN3224,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 31-1/4""",37.25,31.25,AAN3228,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"37-1/4"" x 35-1/4""",37.25,35.25,AAN3230,Fiberglass and Fibrex clad wood awning window,4,3,4,3
"39-1/4"" x 15-1/4""",39.25,15.25,AAN3414,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 19-1/4""",39.25,19.25,AAN3418,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 21-1/4""",39.25,21.25,AAN34110,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"39-1/4"" x 23-1/4""",39.25,23.25,AAN3420,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 27-1/4""",39.25,27.25,AAN3424,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 31-1/4""",39.25,31.25,AAN3428,Fiberglass and Fibrex clad wood awning window,4,2,4,2
"39-1/4"" x 35-1/4""",39.25,35.25,AAN3430,Fiberglass and Fibrex clad wood awning window,4,3,4,3
"43-1/4"" x 15-1/4""",43.25,15.25,AAN3814,Fiberglass and Fibrex clad wood awning window,4,1,4,1
"43-1/4"" x 19-1/4""",43.25,19.25,AAN3818,Fiberglass and Fibrex clad wood awning window,4,1,4,1
