,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"19-1/4"" x 15-1/4""",19.25,15.25,ATV1814,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"19-1/4"" x 19-1/4""",19.25,19.25,ATV1818,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"19-1/4"" x 21-1/4""",19.25,21.25,ATV18110,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"19-1/4"" x 23-1/4""",19.25,23.25,ATV1820,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"19-1/4"" x 27-1/4""",19.25,27.25,ATV1824,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"19-1/4"" x 31-1/4""",19.25,31.25,ATV1828,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"19-1/4"" x 35-1/4""",19.25,35.25,ATV1830,Fiberglass and Fibrex clad wood venting tansom window,2,3,2,3
"23-1/4"" x 15-1/4""",23.25,15.25,ATV2014,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"23-1/4"" x 19-1/4""",23.25,19.25,ATV2018,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"23-1/4"" x 21-1/4""",23.25,21.25,ATV20110,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"23-1/4"" x 23-1/4""",23.25,23.25,ATV2020,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"23-1/4"" x 27-1/4""",23.25,27.25,ATV2024,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"23-1/4"" x 31-1/4""",23.25,31.25,ATV2028,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"23-1/4"" x 35-1/4""",23.25,35.25,ATV2030,Fiberglass and Fibrex clad wood venting tansom window,2,3,2,3
"27-1/4"" x 15-1/4""",27.25,15.25,ATV2414,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"27-1/4"" x 19-1/4""",27.25,19.25,ATV2418,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"27-1/4"" x 21-1/4""",27.25,21.25,ATV24110,Fiberglass and Fibrex clad wood venting tansom window,2,1,2,1
"27-1/4"" x 23-1/4""",27.25,23.25,ATV2420,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"27-1/4"" x 27-1/4""",27.25,27.25,ATV2424,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"27-1/4"" x 31-1/4""",27.25,31.25,ATV2428,Fiberglass and Fibrex clad wood venting tansom window,2,2,2,2
"27-1/4"" x 35-1/4""",27.25,35.25,ATV2430,Fiberglass and Fibrex clad wood venting tansom window,2,3,2,3
"29-1/4"" x 15-1/4""",29.25,15.25,ATV2614,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"29-1/4"" x 19-1/4""",29.25,19.25,ATV2618,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"29-1/4"" x 21-1/4""",29.25,21.25,ATV26110,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"29-1/4"" x 23-1/4""",29.25,23.25,ATV2620,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"29-1/4"" x 27-1/4""",29.25,27.25,ATV2624,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"29-1/4"" x 31-1/4""",29.25,31.25,ATV2628,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"29-1/4"" x 35-1/4""",29.25,35.25,ATV2630,Fiberglass and Fibrex clad wood venting tansom window,3,3,3,3
"31-1/4"" x 15-1/4""",31.25,15.25,ATV2814,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"31-1/4"" x 19-1/4""",31.25,19.25,ATV2818,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"31-1/4"" x 21-1/4""",31.25,21.25,ATV28110,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"31-1/4"" x 23-1/4""",31.25,23.25,ATV2820,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"31-1/4"" x 27-1/4""",31.25,27.25,ATV2824,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"31-1/4"" x 31-1/4""",31.25,31.25,ATV2828,Fiberglass and Fibrex clad wood venting tansom window,3,2,3,2
"31-1/4"" x 35-1/4""",31.25,35.25,ATV2830,Fiberglass and Fibrex clad wood venting tansom window,3,3,3,3
"33-1/4"" x 15-1/4""",33.25,15.25,ATV21014,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
"33-1/4"" x 19-1/4""",33.25,19.25,ATV21018,Fiberglass and Fibrex clad wood venting tansom window,3,1,3,1
