,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"19-1/4"" x 23-1/4""",19.25,23.25,ACW1820,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"19-1/4"" x 27-1/4""",19.25,27.25,ACW1824,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"19-1/4"" x 31-1/4""",19.25,31.25,ACW1828,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"19-1/4"" x 35-1/4""",19.25,35.25,ACW1830,Fiberglass and Fibrex clad wood casement window,2,3,2,3
"19-1/4"" x 39-1/4""",19.25,39.25,ACW1834,Fiberglass and Fibrex clad wood casement window,2,3,2,3
"19-1/4"" x 43-1/4""",19.25,43.25,ACW1838,Fiberglass and Fibrex clad wood casement window,2,3,2,3
"19-1/4"" x 47-1/4""",19.25,47.25,ACW1840,Fiberglass and Fibrex clad wood casement window,2,4,2,4
"19-1/4"" x 51-1/4""",19.25,51.25,ACW1844,Fiberglass and Fibrex clad wood casement window,2,4,2,4
"19-1/4"" x 55-1/4""",19.25,55.25,ACW1848,Fiberglass and Fibrex clad wood casement window,2,5,2,5
"19-1/4"" x 59-1/4""",19.25,59.25,ACW1850,Fiberglass and Fibrex clad wood casement window,2,5,2,5
"19-1/4"" x 63-1/4""",19.25,63.25,ACW1854,Fiberglass and Fibrex clad wood casement window,2,5,2,5
"19-1/4"" x 67-1/4""",19.25,67.25,ACW1858,Fiberglass and Fibrex clad wood casement window,2,6,2,6
"19-1/4"" x 71-1/4""",19.25,71.25,ACW1860,Fiberglass and Fibrex clad wood casement window,2,6,2,6
"23-1/4"" x 23-1/4""",23.25,23.25,ACW2020,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"23-1/4"" x 27-1/4""",23.25,27.25,ACW2024,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"23-1/4"" x 31-1/4""",23.25,31.25,ACW2028,Fiberglass and Fibrex clad wood casement window,2,2,2,2
"23-1/4"" x 35-1/4""",23.25,35.25,ACW2030,Fiberglass and Fibrex clad wood casement window,2,3,2,3
"23-1/4"" x 39-1/4""",23.25,39.25,ACW2034,Fiberglass and Fibrex clad wood casement window,2,3,2,3
"23-1/4"" x 43-1/4""",23.25,43.25,ACW2038,Fiberglass and Fibrex clad wood casement window,2,3,2,3
