,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"15-1/4"" x 23-1/4""",15.25,23.25,APW1420,Fibrex clad wood picture window,2,2,2,2
"15-1/4"" x 27-1/4""",15.25,27.25,APW1424,Fibrex clad wood picture window,2,2,2,2
"15-1/4"" x 31-1/4""",15.25,31.25,APW1428,Fibrex clad wood picture window,2,2,2,2
"15-1/4"" x 35-1/4""",15.25,35.25,APW1430,Fibrex clad wood picture window,2,3,2,3
"15-1/4"" x 39-1/4""",15.25,39.25,APW1434,Fibrex clad wood picture window,2,3,2,3
"15-1/4"" x 43-1/4""",15.25,43.25,APW1438,Fibrex clad wood picture window,2,3,2,3
"15-1/4"" x 47-1/4""",15.25,47.25,APW1440,Fibrex clad wood picture window,2,4,2,4
"15-1/4"" x 51-1/4""",15.25,51.25,APW1444,Fibrex clad wood picture window,2,4,2,4
"15-1/4"" x 55-1/4""",15.25,55.25,APW1448,Fibrex clad wood picture window,2,5,2,5
"15-1/4"" x 59-1/4""",15.25,59.25,APW1450,Fibrex clad wood picture window,2,5,2,5
"15-1/4"" x 63-1/4""",15.25,63.25,APW1454,Fibrex clad wood picture window,2,5,2,5
"15-1/4"" x 67-1/4""",15.25,67.25,APW1458,Fibrex clad wood picture window,2,6,2,6
"15-1/4"" x 71-1/4""",15.25,71.25,APW1460,Fibrex clad wood picture window,2,6,2,6
"15-1/4"" x 75-1/4""",15.25,75.25,APW1464,Fibrex clad wood picture window,2,6,2,6
"15-1/4"" x 79-1/4""",15.25,79.25,APW1468,Fibrex clad wood picture window,2,6,2,6
"15-1/4"" x 87-1/4""",15.25,87.25,APW1474,Fibrex clad wood picture window,2,7,2,7
"15-1/4"" x 95-1/4""",15.25,95.25,APW1480,Fibrex clad wood picture window,2,7,2,7
"19-1/4"" x 23-1/4""",19.25,23.25,APW1820,Fibrex clad wood picture window,2,2,2,2
"19-1/4"" x 27-1/4""",19.25,27.25,APW1824,Fibrex clad wood picture window,2,2,2,2
"19-1/4"" x 31-1/4""",19.25,31.25,APW1828,Fibrex clad wood picture window,2,2,2,2
"19-1/4"" x 35-1/4""",19.25,35.25,APW1830,Fibrex clad wood picture window,2,3,2,3
"19-1/4"" x 39-1/4""",19.25,39.25,APW1834,Fibrex clad wood picture window,2,3,2,3
"19-1/4"" x 43-1/4""",19.25,43.25,APW1838,Fibrex clad wood picture window,2,3,2,3
"19-1/4"" x 47-1/4""",19.25,47.25,APW1840,Fibrex clad wood picture window,2,4,2,4
"19-1/4"" x 51-1/4""",19.25,51.25,APW1844,Fibrex clad wood picture window,2,4,2,4
"19-1/4"" x 55-1/4""",19.25,55.25,APW1848,Fibrex clad wood picture window,2,5,2,5
"19-1/4"" x 59-1/4""",19.25,59.25,APW1850,Fibrex clad wood picture window,2,5,2,5
"19-1/4"" x 63-1/4""",19.25,63.25,APW1854,Fibrex clad wood picture window,2,5,2,5
