,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Top Sash Lights High##OTHER##,. . Bottom Sash Lights High##OTHER##
"21-5/8"" x 36-7/8""",21.625,36.875,TW18210,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 40-7/8""",21.625,40.875,TW1832,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 44-7/8""",21.625,44.875,TW1836,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 48-7/8""",21.625,48.875,TW18310,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 52-7/8""",21.625,52.875,TW1842,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 56-7/8""",21.625,56.875,TW1846,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 60-7/8""",21.625,60.875,TW18410,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 64-7/8""",21.625,64.875,TW1852,Vinyl-clad wood double hung window,2,2,2
"21-5/8"" x 68-7/8""",21.625,68.875,TW1856,Vinyl-clad wood double hung window,2,3,3
"21-5/8"" x 72-7/8""",21.625,72.875,TW18510,Vinyl-clad wood double hung window,2,3,3
"21-5/8"" x 76-7/8""",21.625,76.875,TW1862,Vinyl-clad wood double hung window,2,3,3
"21-5/8"" x 88-7/8""",21.625,88.875,TW1872,Vinyl-clad wood double hung window,2,3,3
"21-5/8"" x 92-7/8""",21.625,92.875,TW1876,Vinyl-clad wood double hung window,2,3,3
"25-5/8"" x 36-7/8""",25.625,36.875,TW20210,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 40-7/8""",25.625,40.875,TW2032,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 44-7/8""",25.625,44.875,TW2036,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 48-7/8""",25.625,48.875,TW20310,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 52-7/8""",25.625,52.875,TW2042,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 56-7/8""",25.625,56.875,TW2046,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 60-7/8""",25.625,60.875,TW20410,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 64-7/8""",25.625,64.875,TW2052,Vinyl-clad wood double hung window,3,2,2
"25-5/8"" x 68-7/8""",25.625,68.875,TW2056,Vinyl-clad wood double hung window,3,3,3
"25-5/8"" x 72-7/8""",25.625,72.875,TW20510,Vinyl-clad wood double hung window,3,3,3
"25-5/8"" x 76-7/8""",25.625,76.875,TW2062,Vinyl-clad wood double hung window,3,3,3
"25-5/8"" x 88-7/8""",25.625,88.875,TW2072,Vinyl-clad wood double hung window,3,3,3
"25-5/8"" x 92-7/8""",25.625,92.875,TW2076,Vinyl-clad wood double hung window,3,3,3
"29-5/8"" x 36-7/8""",29.625,36.875,TW24210,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 40-7/8""",29.625,40.875,TW2432,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 44-7/8""",29.625,44.875,TW2436,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 48-7/8""",29.625,48.875,TW24310,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 52-7/8""",29.625,52.875,TW2442,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 56-7/8""",29.625,56.875,TW2446,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 60-7/8""",29.625,60.875,TW24410,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 64-7/8""",29.625,64.875,TW2452,Vinyl-clad wood double hung window,3,2,2
"29-5/8"" x 68-7/8""",29.625,68.875,TW2456,Vinyl-clad wood double hung window,3,3,3
"29-5/8"" x 72-7/8""",29.625,72.875,TW24510,Vinyl-clad wood double hung window,3,3,3
"29-5/8"" x 76-7/8""",29.625,76.875,TW2462,Vinyl-clad wood double hung window,3,3,3
"29-5/8"" x 88-7/8""",29.625,88.875,TW2472,Vinyl-clad wood double hung window,3,3,3
"29-5/8"" x 92-7/8""",29.625,92.875,TW2476,Vinyl-clad wood double hung window,3,3,3
"31-5/8"" x 36-7/8""",31.625,36.875,TW26210,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 40-7/8""",31.625,40.875,TW2632,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 44-7/8""",31.625,44.875,TW2636,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 48-7/8""",31.625,48.875,TW26310,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 52-7/8""",31.625,52.875,TW2642,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 56-7/8""",31.625,56.875,TW2646,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 60-7/8""",31.625,60.875,TW26410,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 64-7/8""",31.625,64.875,TW2652,Vinyl-clad wood double hung window,3,2,2
"31-5/8"" x 68-7/8""",31.625,68.875,TW2656,Vinyl-clad wood double hung window,3,3,3
"31-5/8"" x 72-7/8""",31.625,72.875,TW26510,Vinyl-clad wood double hung window,3,3,3
"31-5/8"" x 76-7/8""",31.625,76.875,TW2662,Vinyl-clad wood double hung window,3,3,3
"31-5/8"" x 88-7/8""",31.625,88.875,TW2672,Vinyl-clad wood double hung window,3,3,3
"31-5/8"" x 92-7/8""",31.625,92.875,TW2676,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 36-7/8""",33.625,36.875,TW28210,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 40-7/8""",33.625,40.875,TW2832,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 44-7/8""",33.625,44.875,TW2836,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 48-7/8""",33.625,48.875,TW28310,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 52-7/8""",33.625,52.875,TW2842,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 56-7/8""",33.625,56.875,TW2846,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 60-7/8""",33.625,60.875,TW28410,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 64-7/8""",33.625,64.875,TW2852,Vinyl-clad wood double hung window,3,2,2
"33-5/8"" x 68-7/8""",33.625,68.875,TW2856,Vinyl-clad wood double hung window,3,3,3
"33-5/8"" x 72-7/8""",33.625,72.875,TW28510,Vinyl-clad wood double hung window,3,3,3
