,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"21-5/8"" x 12""",21.625,12,TWT1810,Vinyl-clad wood double-hung transom window,2,1,2,1
"21-5/8"" x 19-5/16""",21.625,19.3125,TWT1815,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 21-5/16""",21.625,21.3125,TWT1817,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 25-5/16""",21.625,25.3125,TWT18111,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 27-5/16""",21.625,27.3125,TWT1821,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 29-5/16""",21.625,29.3125,TWT1823,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 33-5/16""",21.625,33.3125,TWT1827,Vinyl-clad wood double-hung transom window,2,2,2,2
"21-5/8"" x 39-5/16""",21.625,39.3125,TWT1831,Vinyl-clad wood double-hung transom window,2,3,2,3
"25-5/8"" x 12""",25.625,12,TWT2010,Vinyl-clad wood double-hung transom window,3,1,3,1
"25-5/8"" x 19-5/16""",25.625,19.3125,TWT2015,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 21-5/16""",25.625,21.3125,TWT2017,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 25-5/16""",25.625,25.3125,TWT20111,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 27-5/16""",25.625,27.3125,TWT2021,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 29-5/16""",25.625,29.3125,TWT2023,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 33-5/16""",25.625,33.3125,TWT2027,Vinyl-clad wood double-hung transom window,3,2,3,2
"25-5/8"" x 39-5/16""",25.625,39.3125,TWT2031,Vinyl-clad wood double-hung transom window,3,3,3,3
"29-5/8"" x 12""",29.625,12,TWT2410,Vinyl-clad wood double-hung transom window,3,1,3,1
"29-5/8"" x 19-5/16""",29.625,19.3125,TWT2415,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 21-5/16""",29.625,21.3125,TWT2417,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 25-5/16""",29.625,25.3125,TWT24111,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 27-5/16""",29.625,27.3125,TWT2421,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 29-5/16""",29.625,29.3125,TWT2423,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 33-5/16""",29.625,33.3125,TWT2427,Vinyl-clad wood double-hung transom window,3,2,3,2
"29-5/8"" x 39-5/16""",29.625,39.3125,TWT2431,Vinyl-clad wood double-hung transom window,3,3,3,3
"31-5/8"" x 12""",31.625,12,TWT2610,Vinyl-clad wood double-hung transom window,3,1,3,1
"31-5/8"" x 19-5/16""",31.625,19.3125,TWT2615,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 21-5/16""",31.625,21.3125,TWT2617,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 25-5/16""",31.625,25.3125,TWT26111,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 27-5/16""",31.625,27.3125,TWT2621,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 29-5/16""",31.625,29.3125,TWT2623,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 33-5/16""",31.625,33.3125,TWT2627,Vinyl-clad wood double-hung transom window,3,2,3,2
"31-5/8"" x 39-5/16""",31.625,39.3125,TWT2631,Vinyl-clad wood double-hung transom window,3,3,3,3
"33-5/8"" x 12""",33.625,12,TWT2810,Vinyl-clad wood double-hung transom window,3,1,3,1
"33-5/8"" x 19-5/16""",33.625,19.3125,TWT2815,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 21-5/16""",33.625,21.3125,TWT2817,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 25-5/16""",33.625,25.3125,TWT28111,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 27-5/16""",33.625,27.3125,TWT2821,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 29-5/16""",33.625,29.3125,TWT2823,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 33-5/16""",33.625,33.3125,TWT2827,Vinyl-clad wood double-hung transom window,3,2,3,2
"33-5/8"" x 39-5/16""",33.625,39.3125,TWT2831,Vinyl-clad wood double-hung transom window,3,3,3,3
"35-5/8"" x 12""",35.625,12,TWT21010,Vinyl-clad wood double-hung transom window,3,1,3,1
"35-5/8"" x 19-5/16""",35.625,19.3125,TWT21015,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 21-5/16""",35.625,21.3125,TWT21017,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 25-5/16""",35.625,25.3125,TWT210111,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 27-5/16""",35.625,27.3125,TWT21021,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 29-5/16""",35.625,29.3125,TWT21023,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 33-5/16""",35.625,33.3125,TWT21027,Vinyl-clad wood double-hung transom window,3,2,3,2
"35-5/8"" x 39-5/16""",35.625,39.3125,TWT21031,Vinyl-clad wood double-hung transom window,3,3,3,3
"37-5/8"" x 12""",37.625,12,TWT3010,Vinyl-clad wood double-hung transom window,4,1,4,1
"37-5/8"" x 19-5/16""",37.625,19.3125,TWT3015,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 21-5/16""",37.625,21.3125,TWT3017,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 25-5/16""",37.625,25.3125,TWT30111,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 27-5/16""",37.625,27.3125,TWT3021,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 29-5/16""",37.625,29.3125,TWT3023,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 33-5/16""",37.625,33.3125,TWT3027,Vinyl-clad wood double-hung transom window,4,2,4,2
"37-5/8"" x 39-5/16""",37.625,39.3125,TWT3031,Vinyl-clad wood double-hung transom window,4,3,4,3
"41-5/8"" x 12""",41.625,12,TWT3410,Vinyl-clad wood double-hung transom window,4,1,4,1
"41-5/8"" x 19-5/16""",41.625,19.3125,TWT3415,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 21-5/16""",41.625,21.3125,TWT3417,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 25-5/16""",41.625,25.3125,TWT34111,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 27-5/16""",41.625,27.3125,TWT3421,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 29-5/16""",41.625,29.3125,TWT3423,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 33-5/16""",41.625,33.3125,TWT3427,Vinyl-clad wood double-hung transom window,4,2,4,2
"41-5/8"" x 39-5/16""",41.625,39.3125,TWT3431,Vinyl-clad wood double-hung transom window,4,3,4,3
"45-5/8"" x 12""",45.625,12,TWT3810,Vinyl-clad wood double-hung transom window,4,1,4,1
"45-5/8"" x 19-5/16""",45.625,19.3125,TWT3815,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 21-5/16""",45.625,21.3125,TWT3817,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 25-5/16""",45.625,25.3125,TWT38111,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 27-5/16""",45.625,27.3125,TWT3821,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 29-5/16""",45.625,29.3125,TWT3823,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 33-5/16""",45.625,33.3125,TWT3827,Vinyl-clad wood double-hung transom window,4,2,4,2
"45-5/8"" x 39-5/16""",45.625,39.3125,TWT3831,Vinyl-clad wood double-hung transom window,4,3,4,3
"47-5/16"" x 12""",47.3125,12,TWT31010,Vinyl-clad wood double-hung transom window,5,1,5,1
"51-5/16"" x 12""",51.3125,12,TWT4210,Vinyl-clad wood double-hung transom window,6,1,6,1
"59-5/16"" x 12""",59.3125,12,TWT41010,Vinyl-clad wood double-hung transom window,6,1,6,1
"67-5/16"" x 12""",67.3125,12,TWT5610,Vinyl-clad wood double-hung transom window,6,1,6,1
"75-5/16"" x 12""",75.3125,12,TWT6210,Vinyl-clad wood double-hung transom window,8,1,8,1
