,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"12"" x 48-7/8""",12,48.875,DHP10310,Vinyl-clad wood tilt-wash picture window,1,4,1,4
"12"" x 52-7/8""",12,52.875,DHP1042,Vinyl-clad wood tilt-wash picture window,1,4,1,4
"12"" x 56-7/8""",12,56.875,DHP1046,Vinyl-clad wood tilt-wash picture window,1,4,1,4
"12"" x 60-7/8""",12,60.875,DHP10410,Vinyl-clad wood tilt-wash picture window,1,4,1,4
"12"" x 64-7/8""",12,64.875,DHP1052,Vinyl-clad wood tilt-wash picture window,1,4,1,4
"12"" x 68-7/8""",12,68.875,DHP1056,Vinyl-clad wood tilt-wash picture window,1,6,1,6
"12"" x 72-7/8""",12,72.875,DHP10510,Vinyl-clad wood tilt-wash picture window,1,6,1,6
"12"" x 76-7/8""",12,76.875,DHP1062,Vinyl-clad wood tilt-wash picture window,1,6,1,6
"37-5/8"" x 48-7/8""",37.625,48.875,DHP30310,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"37-5/8"" x 52-7/8""",37.625,52.875,DHP3042,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"37-5/8"" x 56-7/8""",37.625,56.875,DHP3046,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"37-5/8"" x 60-7/8""",37.625,60.875,DHP30410,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"37-5/8"" x 64-7/8""",37.625,64.875,DHP3052,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"37-5/8"" x 68-7/8""",37.625,68.875,DHP3056,Vinyl-clad wood tilt-wash picture window,4,6,4,6
"37-5/8"" x 72-7/8""",37.625,72.875,DHP30510,Vinyl-clad wood tilt-wash picture window,4,6,4,6
"37-5/8"" x 76-7/8""",37.625,76.875,DHP3062,Vinyl-clad wood tilt-wash picture window,4,6,4,6
"41-5/8"" x 48-7/8""",41.625,48.875,DHP34310,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"41-5/8"" x 52-7/8""",41.625,52.875,DHP3442,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"41-5/8"" x 56-7/8""",41.625,56.875,DHP3446,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"41-5/8"" x 60-7/8""",41.625,60.875,DHP34410,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"41-5/8"" x 64-7/8""",41.625,64.875,DHP3452,Vinyl-clad wood tilt-wash picture window,4,4,4,4
"41-5/8"" x 68-7/8""",41.625,68.875,DHP3456,Vinyl-clad wood tilt-wash picture window,4,6,4,6
"41-5/8"" x 72-7/8""",41.625,72.875,DHP34510,Vinyl-clad wood tilt-wash picture window,4,6,4,6
