,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"15-1/4"" x 11-1/4""",15.25,11.25,ATF1410,Fibrex clad wood tansom window,1,1,1,1
"15-1/4"" x 15-1/4""",15.25,15.25,ATF1414,Fibrex clad wood tansom window,1,1,1,1
"15-1/4"" x 17-1/4""",15.25,17.25,ATF1416,Fibrex clad wood tansom window,1,1,1,1
"15-1/4"" x 19-1/4""",15.25,19.25,ATF1418,Fibrex clad wood tansom window,1,1,1,1
"15-1/4"" x 21-1/4""",15.25,21.25,ATF14110,Fibrex clad wood tansom window,1,1,1,1
"15-1/4"" x 23-1/4""",15.25,23.25,ATF1420,Fibrex clad wood tansom window,1,2,1,2
"15-1/4"" x 25-1/4""",15.25,25.25,ATF1422,Fibrex clad wood tansom window,1,2,1,2
"15-1/4"" x 27-1/4""",15.25,27.25,ATF1424,Fibrex clad wood tansom window,1,2,1,2
"15-1/4"" x 29-1/4""",15.25,29.25,ATF1426,Fibrex clad wood tansom window,1,2,1,2
"15-1/4"" x 31-1/4""",15.25,31.25,ATF1428,Fibrex clad wood tansom window,1,2,1,2
"15-1/4"" x 35-1/4""",15.25,35.25,ATF1430,Fibrex clad wood tansom window,1,3,1,3
"15-1/4"" x 39-1/4""",15.25,39.25,ATF1434,Fibrex clad wood tansom window,1,3,1,3
"19-1/4"" x 11-1/4""",19.25,11.25,ATF1810,Fibrex clad wood tansom window,2,1,2,1
"19-1/4"" x 15-1/4""",19.25,15.25,ATF1814,Fibrex clad wood tansom window,2,1,2,1
"19-1/4"" x 17-1/4""",19.25,17.25,ATF1816,Fibrex clad wood tansom window,2,1,2,1
"19-1/4"" x 19-1/4""",19.25,19.25,ATF1818,Fibrex clad wood tansom window,2,1,2,1
"19-1/4"" x 21-1/4""",19.25,21.25,ATF18110,Fibrex clad wood tansom window,2,1,2,1
"19-1/4"" x 23-1/4""",19.25,23.25,ATF1820,Fibrex clad wood tansom window,2,2,2,2
"19-1/4"" x 25-1/4""",19.25,25.25,ATF1822,Fibrex clad wood tansom window,2,2,2,2
"19-1/4"" x 27-1/4""",19.25,27.25,ATF1824,Fibrex clad wood tansom window,2,2,2,2
"19-1/4"" x 29-1/4""",19.25,29.25,ATF1826,Fibrex clad wood tansom window,2,2,2,2
"19-1/4"" x 31-1/4""",19.25,31.25,ATF1828,Fibrex clad wood tansom window,2,2,2,2
"19-1/4"" x 35-1/4""",19.25,35.25,ATF1830,Fibrex clad wood tansom window,2,3,2,3
"19-1/4"" x 39-1/4""",19.25,39.25,ATF1834,Fibrex clad wood tansom window,2,3,2,3
"23-1/4"" x 11-1/4""",23.25,11.25,ATF2010,Fibrex clad wood tansom window,2,1,2,1
"23-1/4"" x 15-1/4""",23.25,15.25,ATF2014,Fibrex clad wood tansom window,2,1,2,1
"23-1/4"" x 17-1/4""",23.25,17.25,ATF2016,Fibrex clad wood tansom window,2,1,2,1
"23-1/4"" x 19-1/4""",23.25,19.25,ATF2018,Fibrex clad wood tansom window,2,1,2,1
"23-1/4"" x 21-1/4""",23.25,21.25,ATF20110,Fibrex clad wood tansom window,2,1,2,1
"23-1/4"" x 23-1/4""",23.25,23.25,ATF2020,Fibrex clad wood tansom window,2,2,2,2
"23-1/4"" x 25-1/4""",23.25,25.25,ATF2022,Fibrex clad wood tansom window,2,2,2,2
"23-1/4"" x 27-1/4""",23.25,27.25,ATF2024,Fibrex clad wood tansom window,2,2,2,2
"23-1/4"" x 29-1/4""",23.25,29.25,ATF2026,Fibrex clad wood tansom window,2,2,2,2
"23-1/4"" x 31-1/4""",23.25,31.25,ATF2028,Fibrex clad wood tansom window,2,2,2,2
"23-1/4"" x 35-1/4""",23.25,35.25,ATF2030,Fibrex clad wood tansom window,2,3,2,3
"23-1/4"" x 39-1/4""",23.25,39.25,ATF2034,Fibrex clad wood tansom window,2,3,2,3
"27-1/4"" x 11-1/4""",27.25,11.25,ATF2410,Fibrex clad wood tansom window,2,1,2,1
"27-1/4"" x 15-1/4""",27.25,15.25,ATF2414,Fibrex clad wood tansom window,2,1,2,1
"27-1/4"" x 17-1/4""",27.25,17.25,ATF2416,Fibrex clad wood tansom window,2,1,2,1
"27-1/4"" x 19-1/4""",27.25,19.25,ATF2418,Fibrex clad wood tansom window,2,1,2,1
"27-1/4"" x 21-1/4""",27.25,21.25,ATF24110,Fibrex clad wood tansom window,2,1,2,1
"27-1/4"" x 23-1/4""",27.25,23.25,ATF2420,Fibrex clad wood tansom window,2,2,2,2
"27-1/4"" x 25-1/4""",27.25,25.25,ATF2422,Fibrex clad wood tansom window,2,2,2,2
"27-1/4"" x 27-1/4""",27.25,27.25,ATF2424,Fibrex clad wood tansom window,2,2,2,2
"27-1/4"" x 29-1/4""",27.25,29.25,ATF2426,Fibrex clad wood tansom window,2,2,2,2
"27-1/4"" x 31-1/4""",27.25,31.25,ATF2428,Fibrex clad wood tansom window,2,2,2,2
"27-1/4"" x 35-1/4""",27.25,35.25,ATF2430,Fibrex clad wood tansom window,2,3,2,3
"27-1/4"" x 39-1/4""",27.25,39.25,ATF2434,Fibrex clad wood tansom window,2,3,2,3
"29-1/4"" x 11-1/4""",29.25,11.25,ATF2610,Fibrex clad wood tansom window,3,1,3,1
"29-1/4"" x 15-1/4""",29.25,15.25,ATF2614,Fibrex clad wood tansom window,3,1,3,1
"29-1/4"" x 17-1/4""",29.25,17.25,ATF2616,Fibrex clad wood tansom window,3,1,3,1
"29-1/4"" x 19-1/4""",29.25,19.25,ATF2618,Fibrex clad wood tansom window,3,1,3,1
"29-1/4"" x 21-1/4""",29.25,21.25,ATF26110,Fibrex clad wood tansom window,3,1,3,1
"29-1/4"" x 23-1/4""",29.25,23.25,ATF2620,Fibrex clad wood tansom window,3,2,3,2
"29-1/4"" x 25-1/4""",29.25,25.25,ATF2622,Fibrex clad wood tansom window,3,2,3,2
"29-1/4"" x 27-1/4""",29.25,27.25,ATF2624,Fibrex clad wood tansom window,3,2,3,2
